mkz,type,value,lu,lu_alt
10134,flach,12,Arable land,Agricultural Areas
10135,flach,23,Forest,Forest and seminatural areas
10136,flach,24,Forest,Forest and seminatural areas
10141,flach,18,Pastures,Agricultural Areas
10142,flach,12,Arable land,Agricultural Areas
10143,flach,3,"Industrial, comercial and transport units",Artificial Surfaces
11001,flach,2,Urban fabric,Artificial Surfaces
11002,flach,12,Arable land,Agricultural Areas
11005,flach,12,Arable land,Agricultural Areas
11119,flach,12,Arable land,Agricultural Areas
11134,flach,3,"Industrial, comercial and transport units",Artificial Surfaces
11148,flach,12,Arable land,Agricultural Areas
11187,flach,24,Forest,Forest and seminatural areas
11221,flach,12,Arable land,Agricultural Areas
11400,flach,12,Arable land,Agricultural Areas
11401,flach,12,Arable land,Agricultural Areas
11402,flach,18,Pastures,Agricultural Areas
11403,flach,24,Forest,Forest and seminatural areas
11405,flach,12,Arable land,Agricultural Areas
11406,flach,20,Heterogeneous agricultural areas,Agricultural Areas
11407,flach,16,Permanent crops,Agricultural Areas
11408,flach,12,Arable land,Agricultural Areas
11664,flach,12,Arable land,Agricultural Areas
13103,flach,18,Pastures,Agricultural Areas
13112,flach,18,Pastures,Agricultural Areas
13126,flach,18,Pastures,Agricultural Areas
13141,flach,24,Forest,Forest and seminatural areas
13143,flach,3,"Industrial, comercial and transport units",Artificial Surfaces
13146,flach,24,Forest,Forest and seminatural areas
13147,flach,18,Pastures,Agricultural Areas
13148,flach,18,Pastures,Agricultural Areas
13149,flach,18,Pastures,Agricultural Areas
13303,flach,18,Pastures,Agricultural Areas
13392,flach,25,Forest,Forest and seminatural areas
14113,flach,2,Urban fabric,Artificial Surfaces
14115,flach,12,Arable land,Agricultural Areas
14116,flach,2,Urban fabric,Artificial Surfaces
14117,flach,12,Arable land,Agricultural Areas
14118,flach,12,Arable land,Agricultural Areas
14123,flach,18,Pastures,Agricultural Areas
14126,flach,24,Forest,Forest and seminatural areas
14130,flach,12,Arable land,Agricultural Areas
14134,flach,12,Arable land,Agricultural Areas
14135,flach,18,Pastures,Agricultural Areas
14136,flach,18,Pastures,Agricultural Areas
14137,flach,12,Arable land,Agricultural Areas
14138,flach,23,Forest,Forest and seminatural areas
14139,flach,25,Forest,Forest and seminatural areas
14140,flach,12,Arable land,Agricultural Areas
15125,flach,18,Pastures,Agricultural Areas
15164,flach,12,Arable land,Agricultural Areas
15187,flach,12,Arable land,Agricultural Areas
15188,flach,2,Urban fabric,Artificial Surfaces
15197,flach,2,Urban fabric,Artificial Surfaces
15200,flach,2,Urban fabric,Artificial Surfaces
15205,flach,2,Urban fabric,Artificial Surfaces
16000,flach,25,Forest,Forest and seminatural areas
16005,flach,3,"Industrial, comercial and transport units",Artificial Surfaces
16008,flach,2,Urban fabric,Artificial Surfaces
16119,flach,1,Urban fabric,Artificial Surfaces
16144,flach,2,Urban fabric,Artificial Surfaces
16198,flach,2,Urban fabric,Artificial Surfaces
16212,flach,12,Arable land,Agricultural Areas
16225,flach,12,Arable land,Agricultural Areas
16228,flach,12,Arable land,Agricultural Areas
16229,flach,18,Pastures,Agricultural Areas
16232,flach,18,Pastures,Agricultural Areas
16249,flach,2,Urban fabric,Artificial Surfaces
16273,flach,25,Forest,Forest and seminatural areas
16274,flach,12,Arable land,Agricultural Areas
16275,flach,2,Urban fabric,Artificial Surfaces
16276,flach,24,Forest,Forest and seminatural areas
16277,flach,2,Urban fabric,Artificial Surfaces
16278,flach,12,Arable land,Agricultural Areas
16290,flach,23,Forest,Forest and seminatural areas
16292,flach,3,"Industrial, comercial and transport units",Artificial Surfaces
16293,flach,24,Forest,Forest and seminatural areas
16294,flach,12,Arable land,Agricultural Areas
16295,flach,12,Arable land,Agricultural Areas
16296,flach,18,Pastures,Agricultural Areas
16297,flach,2,Urban fabric,Artificial Surfaces
16298,flach,2,Urban fabric,Artificial Surfaces
16710,flach,12,Arable land,Agricultural Areas
17116,flach,18,Pastures,Agricultural Areas
17127,flach,25,Forest,Forest and seminatural areas
17129,flach,24,Forest,Forest and seminatural areas
17133,flach,24,Forest,Forest and seminatural areas
17141,flach,18,Pastures,Agricultural Areas
17148,flach,24,Forest,Forest and seminatural areas
17150,flach,18,Pastures,Agricultural Areas
17151,flach,24,Forest,Forest and seminatural areas
17154,flach,1,Urban fabric,Artificial Surfaces
17164,flach,2,Urban fabric,Artificial Surfaces
17168,flach,2,Urban fabric,Artificial Surfaces
17170,flach,25,Forest,Forest and seminatural areas
17172,flach,18,Pastures,Agricultural Areas
17174,flach,24,Forest,Forest and seminatural areas
17175,flach,18,Pastures,Agricultural Areas
17178,flach,24,Forest,Forest and seminatural areas
17180,flach,2,Urban fabric,Artificial Surfaces
17183,flach,24,Forest,Forest and seminatural areas
17185,flach,18,Pastures,Agricultural Areas
17186,flach,18,Pastures,Agricultural Areas
17187,flach,3,"Industrial, comercial and transport units",Artificial Surfaces
17188,flach,18,Pastures,Agricultural Areas
17190,flach,11,"Artificial, non-agricultural vegetated areas",Artificial Surfaces
17192,flach,18,Pastures,Agricultural Areas
17193,flach,18,Pastures,Agricultural Areas
17196,flach,2,Urban fabric,Artificial Surfaces
18122,flach,12,Arable land,Agricultural Areas
18125,flach,24,Forest,Forest and seminatural areas
18126,flach,12,Arable land,Agricultural Areas
18128,flach,12,Arable land,Agricultural Areas
18129,flach,12,Arable land,Agricultural Areas
19118,flach,24,Forest,Forest and seminatural areas
19125,flach,2,Urban fabric,Artificial Surfaces
19137,flach,24,Forest,Forest and seminatural areas
19140,flach,3,"Industrial, comercial and transport units",Artificial Surfaces
19145,flach,12,Arable land,Agricultural Areas
19230,flach,12,Arable land,Agricultural Areas
19603,flach,12,Arable land,Agricultural Areas
19630,flach,12,Arable land,Agricultural Areas
19709,flach,12,Arable land,Agricultural Areas
20006,flach,23,Forest,Forest and seminatural areas
20007,flach,23,Forest,Forest and seminatural areas
20008,flach,25,Forest,Forest and seminatural areas
20009,flach,7,"Mine, dump and construction sites",Artificial Surfaces
20010,flach,3,"Industrial, comercial and transport units",Artificial Surfaces
20011,flach,18,Pastures,Agricultural Areas
20012,flach,2,Urban fabric,Artificial Surfaces
20013,flach,2,Urban fabric,Artificial Surfaces
20178,flach,24,Forest,Forest and seminatural areas
20187,flach,18,Pastures,Agricultural Areas
20191,flach,18,Pastures,Agricultural Areas
21115,flach,3,"Industrial, comercial and transport units",Artificial Surfaces
21121,flach,18,Pastures,Agricultural Areas
21136,flach,3,"Industrial, comercial and transport units",Artificial Surfaces
21137,flach,2,Urban fabric,Artificial Surfaces
21138,flach,2,Urban fabric,Artificial Surfaces
21139,flach,18,Pastures,Agricultural Areas
21140,flach,24,Forest,Forest and seminatural areas
21141,flach,12,Arable land,Agricultural Areas
21142,flach,24,Forest,Forest and seminatural areas
21920,flach,18,Pastures,Agricultural Areas
21927,flach,12,Arable land,Agricultural Areas
21985,flach,2,Urban fabric,Artificial Surfaces
22012,flach,23,Forest,Forest and seminatural areas
22013,flach,18,Pastures,Agricultural Areas
22020,flach,12,Arable land,Agricultural Areas
22021,flach,18,Pastures,Agricultural Areas
22144,flach,12,Arable land,Agricultural Areas
23107,flach,12,Arable land,Agricultural Areas
23192,flach,25,Forest,Forest and seminatural areas
23204,flach,18,Pastures,Agricultural Areas
23216,flach,12,Arable land,Agricultural Areas
23225,flach,12,Arable land,Agricultural Areas
23238,flach,12,Arable land,Agricultural Areas
23245,flach,12,Arable land,Agricultural Areas
23246,flach,18,Pastures,Agricultural Areas
23247,flach,2,Urban fabric,Artificial Surfaces
23249,flach,18,Pastures,Agricultural Areas
23252,flach,18,Pastures,Agricultural Areas
23253,flach,23,Forest,Forest and seminatural areas
23723,flach,23,Forest,Forest and seminatural areas
24151,flach,18,Pastures,Agricultural Areas
25100,flach,29,Shrub and/or herbaceous vegetation associations,Forest and seminatural areas
25106,flach,18,Pastures,Agricultural Areas
25111,flach,18,Pastures,Agricultural Areas
25117,flach,18,Pastures,Agricultural Areas
25121,flach,18,Pastures,Agricultural Areas
25130,flach,12,Arable land,Agricultural Areas
25135,flach,18,Pastures,Agricultural Areas
25139,flach,29,Shrub and/or herbaceous vegetation associations,Forest and seminatural areas
25142,flach,23,Forest,Forest and seminatural areas
25143,flach,18,Pastures,Agricultural Areas
25144,flach,18,Pastures,Agricultural Areas
25151,flach,3,"Industrial, comercial and transport units",Artificial Surfaces
25156,flach,12,Arable land,Agricultural Areas
25160,flach,12,Arable land,Agricultural Areas
25163,flach,24,Forest,Forest and seminatural areas
25164,flach,24,Forest,Forest and seminatural areas
25170,flach,26,Shrub and/or herbaceous vegetation associations,Forest and seminatural areas
25183,flach,18,Pastures,Agricultural Areas
25184,flach,36,Inland wetlands,Wetlands
25668,flach,11,"Artificial, non-agricultural vegetated areas",Artificial Surfaces
25700,flach,3,"Industrial, comercial and transport units",Artificial Surfaces
25707,flach,25,Forest,Forest and seminatural areas
27107,flach,23,Forest,Forest and seminatural areas
27118,flach,23,Forest,Forest and seminatural areas
27121,flach,23,Forest,Forest and seminatural areas
27124,flach,23,Forest,Forest and seminatural areas
27139,flach,16,Permanent crops,Agricultural Areas
3108,flach,12,Arable land,Agricultural Areas
3114,flach,12,Arable land,Agricultural Areas
3129,flach,18,Pastures,Agricultural Areas
3132,flach,24,Forest,Forest and seminatural areas
3133,flach,18,Pastures,Agricultural Areas
3136,flach,18,Pastures,Agricultural Areas
3140,flach,24,Forest,Forest and seminatural areas
3142,flach,24,Forest,Forest and seminatural areas
3147,flach,12,Arable land,Agricultural Areas
3148,flach,18,Pastures,Agricultural Areas
3149,flach,12,Arable land,Agricultural Areas
3150,flach,23,Forest,Forest and seminatural areas
3151,flach,12,Arable land,Agricultural Areas
3152,flach,25,Forest,Forest and seminatural areas
4108,flach,12,Arable land,Agricultural Areas
4134,flach,23,Forest,Forest and seminatural areas
4137,flach,12,Arable land,Agricultural Areas
4141,flach,12,Arable land,Agricultural Areas
4166,flach,12,Arable land,Agricultural Areas
4173,flach,18,Pastures,Agricultural Areas
4175,flach,23,Forest,Forest and seminatural areas
4177,flach,2,Urban fabric,Artificial Surfaces
