mkz,prob,types,cuts,trend,var,rmse,class
30340002,1,trend|var|rmse,1|1|1,1,1,1,No Influence
30350016,1,trend|var|rmse,1|1|1,1,1,1,No Influence
30350017,1,trend|var|rmse,1|1|1,1,1,1,No Influence
30350018,1,trend|var|rmse,1|1|1,1,1,1,No Influence
30360050,1,trend|var|rmse,1|1|1,1,1,1,No Influence
30360051,1,trend|var|rmse,1|1|1,1,1,1,No Influence
30360055,1,trend|var|rmse,1|1|1,1,1,1,No Influence
30360056,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31310003,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31320017,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31320033,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31320038,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31320045,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31320049,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31320054,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31320062,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31320063,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31330017,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31330072,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31340028,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31340030,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31340031,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31350001,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31350004,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31350005,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31350016,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31350030,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31360011,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31360019,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31360025,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31360055,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31360088,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31360108,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31360111,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31360119,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31360120,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31370001,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31370019,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31370022,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31370031,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31380005,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31380006,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31380012,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31382912,1,trend|var|rmse,1|1|1,1,1,1,No Influence
31382921,1,trend|var|rmse,1|1|1,1,1,1,No Influence
