mkz,messstellenname,loc,value,lu
43420059,Dahlenberg/04880,Sachsen,23,Broad-leaved forest
43420066,Dahlenberg/04880,Sachsen,23,Broad-leaved forest
43420072,"Dahlenberg, B 72/1970",Sachsen,23,Broad-leaved forest
43425058,"Trossin,an der alten Ziegelei",Sachsen,12,Non-irrigated arable land
43425059,Trossin,Sachsen,18,Pastures
43425060,Trossin,Sachsen,2,Discontinuous urban fabric
43425061,Trossin,Sachsen,12,Non-irrigated arable land
43425066,Roitzsch,Sachsen,12,Non-irrigated arable land
43425068,Roitzsch,Sachsen,12,Non-irrigated arable land
43425069,Neusegenthal,Sachsen,12,Non-irrigated arable land
43425100,Falkenberg,Sachsen,12,Non-irrigated arable land
43425103,Falkenberg,Sachsen,2,Discontinuous urban fabric
43425105,Gniebitz/04880,Sachsen,18,Pastures
43425106,Gniebitz/04880,Sachsen,12,Non-irrigated arable land
43425107,"Kossa,HyKoss 13/81",Sachsen,25,Mixed forest
43435043,Mockritz/04860,Sachsen,18,Pastures
43435044,Elbdeich,Sachsen,18,Pastures
43435045,Dautzschen,Sachsen,18,Pastures
43435072,Trossin,Sachsen,24,Coniferous forest
43435073,Dommitzsch,Sachsen,12,Non-irrigated arable land
43435074,Dommitzsch,Sachsen,12,Non-irrigated arable land
43435075,Proschwitz,Sachsen,12,Non-irrigated arable land
43435077,Dommitzsch,Sachsen,2,Discontinuous urban fabric
43435078,Dommitzsch,Sachsen,12,Non-irrigated arable land
43435079,Sportplatz-Dommitzsch,Sachsen,2,Discontinuous urban fabric
43435080,Dommitzsch,Sachsen,24,Coniferous forest
43435081,Mahlitzsch,Sachsen,12,Non-irrigated arable land
43435082,Mahlitzsch,Sachsen,12,Non-irrigated arable land
43435083,Mahlitzsch,Sachsen,12,Non-irrigated arable land
43435084,Proschwitz,Sachsen,18,Pastures
43435085,Proschwitz,Sachsen,18,Pastures
43435086,Dommitzsch,Sachsen,18,Pastures
43435087,Drebligar,Sachsen,18,Pastures
43435088,Polbitz,Sachsen,12,Non-irrigated arable land
