V1,mkz,rmse,loc
0,43420059,0.082,Sachsen
1,43420066,0.113,Sachsen
2,43420072,0.098,Sachsen
3,43425058,,Sachsen
4,43425059,,Sachsen
5,43425060,,Sachsen
6,43425061,,Sachsen
7,43425066,,Sachsen
8,43425068,,Sachsen
9,43425069,,Sachsen
10,43425100,0.326,Sachsen
11,43425103,0.624,Sachsen
12,43425105,0.514,Sachsen
13,43425106,0.334,Sachsen
14,43425107,1.381,Sachsen
15,43435043,,Sachsen
16,43435044,,Sachsen
17,43435045,,Sachsen
18,43435072,,Sachsen
19,43435073,0.184,Sachsen
20,43435074,0.227,Sachsen
21,43435075,,Sachsen
22,43435077,0.159,Sachsen
23,43435078,,Sachsen
24,43435079,,Sachsen
25,43435080,0.117,Sachsen
26,43435081,0.219,Sachsen
27,43435082,,Sachsen
28,43435083,1.001,Sachsen
29,43435084,0.151,Sachsen
30,43435085,0.585,Sachsen
31,43435086,1.32,Sachsen
32,43435087,0.685,Sachsen
33,43435088,,Sachsen
34,43435089,0.584,Sachsen
35,43435090,0.639,Sachsen
36,43435091,1.462,Sachsen
37,43435095,,Sachsen
38,43440001,0.35,Sachsen
39,44391280,0.021,Sachsen
40,44393876,1.439,Sachsen
41,44396262,0.141,Sachsen
42,44396267,,Sachsen
43,44396268,,Sachsen
44,44396269,,Sachsen
45,44396279,1.661,Sachsen
46,44396281,0.06,Sachsen
47,44396283,,Sachsen
48,44396284,,Sachsen
49,44396285,,Sachsen
50,44396286,,Sachsen
51,44396300,,Sachsen
52,44396301,,Sachsen
53,44396305,,Sachsen
54,44396310,,Sachsen
55,44396311,,Sachsen
56,44396312,,Sachsen
57,44396313,,Sachsen
58,44396314,,Sachsen
59,44396315,,Sachsen
60,44396316,,Sachsen
61,44396317,,Sachsen
62,44396318,,Sachsen
63,44396321,,Sachsen
64,44396323,,Sachsen
65,44396325,,Sachsen
66,44396336,,Sachsen
67,44399349,,Sachsen
68,44399354,0.326,Sachsen
69,44399398,1.503,Sachsen
70,44400015,0.136,Sachsen
71,44400016,0.191,Sachsen
72,44400025,0.95,Sachsen
73,44400238,1.843,Sachsen
74,44400501,0.126,Sachsen
75,44406309,0.428,Sachsen
76,44406337,,Sachsen
77,44406339,,Sachsen
78,44406340,,Sachsen
79,44406341,,Sachsen
80,44406363,,Sachsen
81,44406364,,Sachsen
82,44406366,,Sachsen
83,44406370,,Sachsen
84,44406377,,Sachsen
85,44406378,,Sachsen
86,44406379,,Sachsen
87,44406380,,Sachsen
88,44406387,,Sachsen
89,44406388,,Sachsen
90,44406389,,Sachsen
91,44406391,,Sachsen
92,44406392,,Sachsen
93,44406394,,Sachsen
94,44406395,,Sachsen
95,44406396,,Sachsen
96,44406397,,Sachsen
97,44406400,,Sachsen
98,44406402,,Sachsen
99,44406403,0.32,Sachsen
100,44406406,0.56,Sachsen
101,44406407,,Sachsen
102,44406409,,Sachsen
103,44406410,,Sachsen
104,44406411,0.294,Sachsen
105,44406412,,Sachsen
106,44406417,,Sachsen
107,44406418,,Sachsen
108,44406420,,Sachsen
