V1,mkz,rmse,loc
0,42419069,0.289,Sachsen-Anhalt
1,42411697,0.31,Sachsen-Anhalt
2,42403197,0.624,Sachsen-Anhalt
3,42402997,0.835,Sachsen-Anhalt
4,43402497,0.187,Sachsen-Anhalt
5,43407272,0.174,Sachsen-Anhalt
6,43409272,0.156,Sachsen-Anhalt
7,43400210,0.244,Sachsen-Anhalt
8,43407771,1.66,Sachsen-Anhalt
9,43409771,0.753,Sachsen-Anhalt
10,43407871,2.484,Sachsen-Anhalt
11,43401897,0.431,Sachsen-Anhalt
12,43401071,0.247,Sachsen-Anhalt
13,43414771,2.308,Sachsen-Anhalt
14,43414871,0.571,Sachsen-Anhalt
15,43414971,0.552,Sachsen-Anhalt
16,42403297,0.289,Sachsen-Anhalt
17,41413497,0.149,Sachsen-Anhalt
18,41400587,0.11,Sachsen-Anhalt
19,41400887,0.116,Sachsen-Anhalt
20,41400387,0.091,Sachsen-Anhalt
21,41401887,0.092,Sachsen-Anhalt
22,41401787,0.093,Sachsen-Anhalt
23,41406914,0.148,Sachsen-Anhalt
24,42401108,0.131,Sachsen-Anhalt
25,41406900,0.161,Sachsen-Anhalt
26,41401208,0.2,Sachsen-Anhalt
27,41405347,0.214,Sachsen-Anhalt
28,41405344,0.279,Sachsen-Anhalt
29,41405341,0.677,Sachsen-Anhalt
30,41400297,0.57,Sachsen-Anhalt
31,41400142,0.525,Sachsen-Anhalt
32,41400126,0.267,Sachsen-Anhalt
33,41391216,0.195,Sachsen-Anhalt
34,41391316,0.239,Sachsen-Anhalt
35,41390197,0.298,Sachsen-Anhalt
36,41391116,0.169,Sachsen-Anhalt
37,41390716,0.232,Sachsen-Anhalt
38,42392897,0.191,Sachsen-Anhalt
39,41391016,0.3,Sachsen-Anhalt
40,41395399,0.211,Sachsen-Anhalt
41,41390916,0.242,Sachsen-Anhalt
42,41391809,0.165,Sachsen-Anhalt
43,41390816,0.189,Sachsen-Anhalt
44,41390393,0.217,Sachsen-Anhalt
45,41388103,0.225,Sachsen-Anhalt
46,41390298,0.189,Sachsen-Anhalt
47,41390794,0.124,Sachsen-Anhalt
48,41390194,0.091,Sachsen-Anhalt
49,41392894,0.059,Sachsen-Anhalt
50,41391410,0.135,Sachsen-Anhalt
51,42390616,0.198,Sachsen-Anhalt
52,42391079,0.287,Sachsen-Anhalt
53,42390179,0.292,Sachsen-Anhalt
54,42391672,0.099,Sachsen-Anhalt
55,42390279,0.307,Sachsen-Anhalt
56,42390879,0.329,Sachsen-Anhalt
57,42391610,0.342,Sachsen-Anhalt
58,42390578,0.171,Sachsen-Anhalt
59,42390679,0.25,Sachsen-Anhalt
60,42391472,0.23,Sachsen-Anhalt
61,42391179,0.209,Sachsen-Anhalt
62,43392297,0.081,Sachsen-Anhalt
63,43390309,0.169,Sachsen-Anhalt
64,43392397,0.298,Sachsen-Anhalt
65,43390344,0.259,Sachsen-Anhalt
66,43390345,0.158,Sachsen-Anhalt
67,43392097,0.501,Sachsen-Anhalt
68,40300027,2.315,Sachsen-Anhalt
69,40290012,1.068,Sachsen-Anhalt
70,40300010,0.071,Sachsen-Anhalt
